Date,Open,High,Low,Close,Volume
2025-01-27,124.80000305175781,128.39999389648438,116.69999694824219,118.41999816894531,818830900
2025-01-24,148.3699951171875,148.97000122070312,141.8800048828125,142.6199951171875,234657600
2025-01-23,145.0500030517578,147.22999572753906,143.72000122070312,147.22000122070312,155915500
2025-01-22,144.66000366210938,147.7899932861328,143.6699981689453,147.07000732421875,237651400
2025-01-21,139.16000366210938,141.8300018310547,137.08999633789062,140.8300018310547,197749000
2025-01-17,136.69000244140625,138.5,135.4600067138672,137.7100067138672,201188800
2025-01-16,138.63999938964844,138.75,133.49000549316406,133.57000732421875,209235600
2025-01-15,133.64999389648438,136.4499969482422,131.2899932861328,136.24000549316406,185217300
2025-01-14,136.0500030517578,136.3800048828125,130.0500030517578,131.75999450683594,195590500
2025-01-13,129.99000549316406,133.49000549316406,129.50999450683594,133.22999572753906,204808900
2025-01-10,137.4499969482422,139.9199981689453,134.22000122070312,135.91000366210938,207602500
2025-01-08,142.5800018310547,143.9499969482422,137.55999755859375,140.11000061035156,227349900
2025-01-07,153.02999877929688,153.1300048828125,140.00999450683594,140.13999938964844,351782200
2025-01-06,148.58999633789062,152.16000366210938,147.82000732421875,149.42999267578125,265377400
2025-01-03,140.00999450683594,144.89999389648438,139.72999572753906,144.47000122070312,229322500
2025-01-02,136.0,138.8800048828125,134.6300048828125,138.30999755859375,198247200
2024-12-31,138.02999877929688,138.07000732421875,133.8300018310547,134.2899932861328,155659200
2024-12-30,134.8300018310547,140.27000427246094,134.02000427246094,137.49000549316406,167734700
2024-12-27,138.5500030517578,139.02000427246094,134.7100067138672,137.00999450683594,170582600
2024-12-26,139.6999969482422,140.85000610351562,137.72999572753906,139.92999267578125,116205600
2024-12-24,140.0,141.89999389648438,138.64999389648438,140.22000122070312,105157000
2024-12-23,136.27999877929688,139.7899932861328,135.1199951171875,139.6699981689453,176053500
2024-12-20,129.80999755859375,135.27999877929688,128.22000122070312,134.6999969482422,306528600
2024-12-19,131.75999450683594,134.02999877929688,129.5500030517578,130.67999267578125,209719200
2024-12-18,133.86000061035156,136.6999969482422,128.27999877929688,128.91000366210938,277444500
2024-12-17,129.08999633789062,131.58999633789062,126.86000061035156,130.38999938964844,259410300
2024-12-16,134.17999267578125,134.39999389648438,130.4199981689453,132.0,237951100
2024-12-13,138.94000244140625,139.60000610351562,132.5399932861328,134.25,231514900
2024-12-12,137.0800018310547,138.44000244140625,135.8000030517578,137.33999633789062,159211400
2024-12-11,137.36000061035156,140.1699981689453,135.2100067138672,139.30999755859375,184905200
2024-12-10,139.00999450683594,141.82000732421875,133.7899932861328,135.07000732421875,210020900
2024-12-09,138.97000122070312,139.9499969482422,137.1300048828125,138.80999755859375,189308600
2024-12-06,144.60000610351562,145.6999969482422,141.30999755859375,142.44000244140625,188505600
2024-12-05,145.11000061035156,146.5399932861328,143.9499969482422,145.05999755859375,172621200
2024-12-04,141.99022171712366,145.7799540199716,140.2803327562802,145.1300048828125,231224300
2024-12-03,138.25047342063522,140.5303151909217,137.9404972096011,140.25033569335938,164414000
2024-12-02,138.82043604874252,140.44031954365505,137.8105111334031,138.62045288085938,171682800
2024-11-29,136.77057853610563,139.34040886007423,136.04063308446467,138.240478515625,141863200
2024-11-27,135.00069411944222,137.21054859333148,131.79092378994943,135.33067321777344,226370900
2024-11-26,137.69051329665368,139.29040920481154,135.66065432709954,136.9105682373047,190287700
2024-11-25,141.98022539008,142.0402188161131,135.81065220328685,136.01063537597656,344941900
2024-11-22,145.91993755545448,147.1498637894418,141.0902837872634,141.94021606445312,236406200
2024-11-21,149.3397202101669,152.8794696932069,140.69030679019977,146.65989685058594,400946600
2024-11-20,147.39984335305397,147.54982691113315,142.72015799039747,145.87994384765625,309871700
2024-11-19,141.31026763860282,147.1198647758357,140.98028855106583,146.99986267089844,227834900
2024-11-18,139.49038598259963,141.54024775288784,137.14054183607018,140.1403350830078,221866000
2024-11-15,144.86001514374476,145.23000003001434,140.0703518362645,141.97021484375,250132900
2024-11-14,147.62982215130063,148.98972901300397,145.53996988270669,146.7498779296875,194463300
2024-11-13,149.0597281902193,149.31970476911368,145.88993335100844,146.25991821289062,191903300
2024-11-12,146.76987949246217,149.63967674683425,145.9999283055317,148.27976989746094,198634700
